junior_school,high_school,quota
北京景山学校,北京市东直门中学,1
北京景山学校,北京景山学校,3
北京景山学校,北京市第二十二中学,1
北京景山学校,北京市龙潭中学,1
北京汇文中学朝阳学校,北京市第二中学,1
北京汇文中学朝阳学校,北京市第五中学,1
北京汇文中学朝阳学校,北京市第十一中学,2
北京汇文中学朝阳学校,北京市第五十中学,2
北京汇文中学朝阳学校,北京市第五十五中学,1
北京汇文中学朝阳学校,北京市第一零九中学,2
北京汇文中学朝阳学校,北京市第一六六中学,2
北京汇文中学朝阳学校,北京市第一七一中学,1
北京汇文中学朝阳学校,北京市广渠门中学,2
北京汇文中学朝阳学校,北京汇文中学,3
北京汇文中学朝阳学校,北京市东直门中学,1
北京汇文中学朝阳学校,北京景山学校,1
北京汇文中学朝阳学校,北京市第二十二中学,1
北京汇文中学朝阳学校,北京市龙潭中学,1
